"set","OA_accurracy","OOB_error"
"NBR2",0.844678811121764,0.164600048626307
"MSAVI2",0.767018216682646,0.229273036712862
"MSAVI8A",0.76222435282838,0.241186481886701
"BSI8A",0.741131351869607,0.275224896669098
"B8A",0.728667305848514,0.264283977631899
"RVI_buff",0.609779482262704,0.411621687332847
"VH_mean",0.595397890699904,0.408217845854607
"VH_variance",0.568552253116012,0.445660102115244
