"set","all_timepoints","2018-04","2020-04","2020-09","2022-02","2022-08","2023-04","variables"
"optical",0.957813998082454,0.932432432432432,0.976190476190476,0.957547169811321,0.990654205607477,0.957142857142857,0.97787610619469,"NBR2, B8A, MSAVI2, BSI8A"
"mixed",0.956855225311601,0.932432432432432,0.961904761904762,0.957547169811321,0.97196261682243,0.95,0.955752212389381,"NBR2, B8A, MSAVI8A, RVI_buff"
"SAR",0.730584851390221,0.709459459459459,0.766666666666667,0.665094339622642,0.719626168224299,0.6,0.778761061946903,"RVI_buff, VH_mean"
