"date","class","BODTYP_K","B02","B03","B04","B08","B05","B06","B07","B11","B12","B8A","VH","VV","VH_mean","VH_variance","VH_homogeneity","VH_contrast","VH_dissimilarity","VH_entropy","VH_second_moment","VH_correlation","VV_mean","VV_variance","VV_homogeneity","VV_contrast","VV_dissimilarity","VV_entropy","VV_second_moment","VV_correlation","VH_buff","VV_buff","RVI","RVI_buff","BSI","NBR2","MSAVI2","BSI8A","MSAVI8A"
"2018-04",2,"RZ",1968.5,2368,2701,4294,3152,3866.5,4130.5,4716,3887.5,4371.5,-26.2810325622559,-14.2365818023682,0.904947936534882,13120.876953125,0.455555558204651,2.55555558204651,1.33333337306976,1.88915920257568,0.160493820905685,0.75240421295166,0.936848938465118,14151.01953125,0.50555557012558,2.05555558204651,1.16666662693024,2.04319190979004,0.135802462697029,0.753932893276215,-24.3316041214825,-13.5463152846245,2.59452911770658,2.56947630735595,0.0843963595160642,0.0962980182483873,0.370955595302803,0.0782874173148215,0.382107274241207
"2018-04",1,"BB-TT",1699,1911.5,2202,2851,2415.5,2540,2667.5,4282,4140.5,2981.5,-37.6875076293945,-19.6362075805664,0.890842020511627,12793.681640625,0.972222208976746,0.0555555559694767,0.0555555559694767,0.174416050314903,0.901234567165375,NA,0.893663167953491,12919.716796875,0.75555557012558,0.888888895511627,0.555555582046509,1.1378732919693,0.395061731338501,0.212605014443398,-30.5219144559886,-17.6954326694959,2.62980216766172,2.53202768510313,0.175276418343303,0.0168002374591867,0.227608592963406,0.161538806036992,0.261413202022595
"2018-04",1,"BB-TT",1726,1970,2253,2956,2436,2585,2749.5,4142.5,4008,2992,-28.3585643768311,-15.7723484039307,0.891493082046509,12844.2490234375,0.911111116409302,0.444444447755814,0.222222223877907,0.348832100629807,0.80246913433075,Inf,0.924479186534882,13759.1552734375,0.588888883590698,1.22222220897675,0.888888895511627,1.86008977890015,0.172839507460594,-0.068666897714138,-26.1051835824322,-15.3648598841484,2.57040360961612,2.51797986211127,0.154682915820357,0.0165020550886449,0.23779072288653,0.150942547352319,0.246960900532486
"2018-04",1,"BB-TT",1682,1865,2132,2788,2360.5,2540.5,2688,4000.5,3874.5,2896,-28.4479160308838,-10.6659336090088,0.896484375,12893.6083984375,0.627777755260468,1.27777779102325,0.833333313465118,1.67698776721954,0.209876537322998,0.407456338405609,0.971137166023254,15192.3359375,0.483333319425583,2.5,1.27777779102325,1.96617555618286,0.148148149251938,0.0195254404097795,-26.4028124272429,-12.8954653771508,2.9092422548835,2.68742692070755,0.156802640886583,0.016,0.235261851916675,0.145137948741889,0.263778625783289
"2018-04",1,"RZ",2008,2350,2770,3532,3065.5,3346.5,3490,4434,4130,3648.5,-22.6685333251953,-13.3119792938232,0.91796875,13657.0546875,0.522222220897675,1.88888883590698,1.11111116409302,1.96617555618286,0.148148149251938,0.406417846679688,0.954644083976746,14520.4833984375,0.408823519945145,3.83333325386047,1.61111116409302,1.88915920257568,0.160493820905685,0.809036731719971,-23.9580099741618,-12.8276440048218,2.52009009045782,2.60514710303636,0.130571249215317,0.0354974311069594,0.215717839233548,0.120329691691614,0.24075883321666
"2018-04",1,"BB-TT",1657.5,1851.5,2120,2777,2318,2508,2633,4025.5,3874.5,2870,-23.125732421875,-12.9529266357422,0.917100667953491,13631.1279296875,0.566666662693024,1.66666662693024,1,1.78307342529297,0.185185179114342,0.696940243244171,0.949652791023254,14572.8193359375,0.733333349227905,0.666666686534882,0.555555582046509,1.28806042671204,0.333333343267441,-6.13908923696727e-12,-24.4405713744511,-12.8487698258154,2.56392371844458,2.6217219814306,0.1617202268431,0.0191139240506329,0.236553727752835,0.151597488990912,0.261290415028725
"2018-04",1,"BB-TT",1738,1943,2246,2976,2487,2658.5,2829.5,4339.5,4113,3151,-28.7309150695801,-15.3402414321899,0.892361104488373,12818.583984375,0.866666674613953,0.666666686534882,0.333333343267441,0.748945891857147,0.592592597007751,NA,0.924479186534882,13760.2666015625,0.522222220897675,1.88888883590698,1.11111116409302,1.58109378814697,0.234567895531654,0.856720805168152,-27.381067276001,-16.0100065192131,2.60768424068256,2.52411981369505,0.165626797645914,0.0267968056787933,0.245264598475387,0.147849579502375,0.287177926568347
"2018-04",1,"BB-TT",1703.5,1973,2320,3022,2535.5,2715,2892,4294,4044.5,3122,-31.4033851623535,-12.3641204833984,0.893446207046509,12843.806640625,0.794444441795349,0.944444417953491,0.5,0.887946546077728,0.543209850788116,0.519764244556427,0.955295145511627,14733.072265625,0.74444442987442,0.777777791023254,0.555555582046509,1.50407743453979,0.271604925394058,0.323409706354141,-28.1924495439272,-12.7979932669047,2.8700182657452,2.75112417536287,0.166541734644385,0.0299214487018049,0.232266988909032,0.156344245814939,0.256856040836738
"2018-04",2,"RZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.1967697143555,-11.5762004852295,0.927083313465118,13815.6884765625,0.341025650501251,4.33333349227905,1.77777779102325,2.0141224861145,0.148148149251938,0.80034202337265,0.959852457046509,14948.7041015625,0.649999976158142,0.833333313465118,0.722222208976746,1.52295506000519,0.234567895531654,0.800000011920929,-23.770962280481,-12.4904058417495,2.62893901047865,2.62218040977973,NA,NA,NA,NA,NA
"2018-04",2,"RZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.2718315124512,-14.7326831817627,0.903211832046509,13222.4716796875,0.600000023841858,2,1,2.04319190979004,0.135802462697029,0.330022424459457,0.937717020511627,14098.119140625,0.561111092567444,2.61111116409302,1.16666662693024,1.78307342529297,0.185185179114342,0.657564282417297,-27.5349307759603,-13.8636175600688,2.52689794695661,2.66047307286828,NA,NA,NA,NA,NA
