"set","OA_with_date","OA_no_date","2018-04","2020-04","2020-09","2022-02","2022-08","2023-04","variables"
"all",0.967401725790987,0.962607861936721,0.918918918918919,0.971428571428571,0.952830188679245,0.990654205607477,0.957142857142857,0.973451327433628,"NBR2, B8A, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_mean, VH_variance"
"optical_8A",0.962607861936721,0.954937679769895,0.932432432432432,0.966666666666667,0.957547169811321,0.981308411214953,0.928571428571429,0.969026548672566,"B8A, NBR2, MSAVI2"
"optical_x",0.962607861936721,0.946308724832215,0.912162162162162,0.980952380952381,0.943396226415094,0.990654205607477,0.957142857142857,0.960176991150443,"NBR2, MSAVI2, BSI8A"
"optical_indices",0.958772770853308,0.953020134228188,0.912162162162162,0.980952380952381,0.938679245283019,1,0.957142857142857,0.964601769911504,"NBR2, MSAVI2, MSAVI8A, BSI8A"
"all_indices",0.947267497603068,0.936720997123682,0.912162162162162,0.966666666666667,0.919811320754717,0.97196261682243,0.942857142857143,0.946902654867257,"NBR2, MSAVI2, MSAVI8A, RVI_buff, VH_variance"
"all_SAR",0.748801534036433,0.703739213806328,0.72972972972973,0.785714285714286,0.712264150943396,0.691588785046729,0.657142857142857,0.787610619469027,"VH_mean, VH_variance, RVI_buff"
"SAR_buff",0.746883988494727,0.724832214765101,0.709459459459459,0.780952380952381,0.650943396226415,0.663551401869159,0.642857142857143,0.761061946902655,"VH_variance, RVI_buff"
"SAR_mean",0.674976030680729,0.658676893576222,0.635135135135135,0.623809523809524,0.608490566037736,0.485981308411215,0.592857142857143,0.663716814159292,"VH_mean, VH_variance"
