"set","OA_with_date","OA_no_date","variables","set_name"
150,0.925215723873442,0.88686481303931,"MSAVI8A, MSAVI2, BSI8A, VH_variance","mixed"
151,0.890699904122723,0.86960690316395,"MSAVI8A, MSAVI2, RVI_buff, VH_mean","mixed"
152,0.89261744966443,0.865771812080537,"MSAVI8A, MSAVI2, RVI_buff, VH_variance","mixed"
153,0.88974113135187,0.851390220517737,"MSAVI8A, MSAVI2, VH_mean, VH_variance","mixed"
154,0.930968360498562,0.89261744966443,"MSAVI8A, BSI8A, RVI_buff, VH_mean","mixed"
155,0.930009587727709,0.893576222435283,"MSAVI8A, BSI8A, RVI_buff, VH_variance","mixed"
156,0.920421860019175,0.87823585810163,"MSAVI8A, BSI8A, VH_mean, VH_variance","mixed"
157,0.87823585810163,0.852348993288591,"MSAVI8A, RVI_buff, VH_mean, VH_variance","mixed"
158,0.929050814956855,0.883029721955896,"MSAVI2, BSI8A, RVI_buff, VH_mean","mixed"
159,0.926174496644295,0.88974113135187,"MSAVI2, BSI8A, RVI_buff, VH_variance","mixed"
160,0.922339405560882,0.88111217641419,"MSAVI2, BSI8A, VH_mean, VH_variance","mixed"
161,0.885906040268456,0.864813039309684,"MSAVI2, RVI_buff, VH_mean, VH_variance","mixed"
162,0.895493767976989,0.848513902205177,"BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
163,0.963566634707574,0.959731543624161,"NBR2, B8A, MSAVI8A, MSAVI2, BSI8A","optical"
164,0.962607861936721,0.957813998082454,"NBR2, B8A, MSAVI8A, MSAVI2, RVI_buff","mixed"
165,0.961649089165868,0.955896452540748,"NBR2, B8A, MSAVI8A, MSAVI2, VH_mean","mixed"
166,0.962607861936721,0.955896452540748,"NBR2, B8A, MSAVI8A, MSAVI2, VH_variance","mixed"
167,0.967401725790987,0.963566634707574,"NBR2, B8A, MSAVI8A, BSI8A, RVI_buff","mixed"
168,0.967401725790987,0.958772770853308,"NBR2, B8A, MSAVI8A, BSI8A, VH_mean","mixed"
169,0.969319271332694,0.959731543624161,"NBR2, B8A, MSAVI8A, BSI8A, VH_variance","mixed"
170,0.967401725790987,0.954937679769895,"NBR2, B8A, MSAVI8A, RVI_buff, VH_mean","mixed"
171,0.966442953020134,0.954937679769895,"NBR2, B8A, MSAVI8A, RVI_buff, VH_variance","mixed"
172,0.965484180249281,0.954937679769895,"NBR2, B8A, MSAVI8A, VH_mean, VH_variance","mixed"
173,0.966442953020134,0.962607861936721,"NBR2, B8A, MSAVI2, BSI8A, RVI_buff","mixed"
174,0.969319271332694,0.963566634707574,"NBR2, B8A, MSAVI2, BSI8A, VH_mean","mixed"
